epoch,acc,loss
0,0.2109375,1.4505338072776794
1,0.28125,1.38697949051857
2,0.3515625,1.3528654873371124
3,0.4296875,1.290485829114914
4,0.5625,1.1847354769706726
5,0.6015625,1.113204151391983
6,0.6484375,0.9563724100589752
7,0.7265625,0.8760494291782379
8,0.6484375,0.8381970971822739
9,0.7265625,0.7465470731258392
10,0.7578125,0.6981579959392548
11,0.78125,0.6011502146720886
12,0.828125,0.5703947246074677
13,0.859375,0.47031357884407043
14,0.8828125,0.4286605939269066
15,0.8984375,0.3439626581966877
16,0.890625,0.3351741209626198
17,0.96875,0.2386663369834423
18,0.953125,0.22630353644490242
19,0.921875,0.2466830462217331
20,0.953125,0.1885087490081787
21,0.9453125,0.22721846774220467
22,0.9765625,0.15763103030622005
23,0.9609375,0.12411365751177073
24,0.9921875,0.11742972955107689
25,0.984375,0.07786055095493793
26,0.96875,0.1313377283513546
27,0.96875,0.14920053258538246
28,0.9765625,0.10410913918167353
29,0.984375,0.07675157859921455
30,0.9921875,0.05925327632576227
31,0.9921875,0.04334178473800421
32,0.9921875,0.048264212906360626
33,1.0,0.03399989753961563
34,0.984375,0.031600740272551775
35,1.0,0.017084507271647453
36,0.9921875,0.02835539518855512
37,1.0,0.018466899637132883
38,1.0,0.021666389424353838
39,1.0,0.019161102594807744
40,1.0,0.017642373917624354
